area,name,num,style,year
"英国,澳大利亚",恐怖游轮,180,"剧情,悬疑,惊悚",2009
美国,爆裂鼓手,181,"剧情,音乐",2014
日本,未麻的部屋,182,"动画,奇幻,惊悚",1997
美国,达拉斯买家俱乐部,183,"剧情,传记,同性",2013
美国,惊魂记,184,"悬疑,恐怖",1960
"法国,德国,意大利,西班牙,瑞士",迁徙的鸟,185,纪录片,2001
日本,魔女宅急便,186,"动画,奇幻,冒险",1989
美国,绿里奇迹,187,"犯罪,剧情,奇幻,悬疑",1999
台湾,牯岭街少年杀人事件,188,"剧情,犯罪",1991
美国,荒野生存,189,"冒险,传记,剧情",2007
美国,再次出发之纽约遇见你,190,"喜剧,爱情,音乐",2013
美国,勇闯夺命岛,191,"动作,冒险",1996
日本,东京物语,192,"剧情,家庭",1953
日本,入殓师,66,剧情,2008
美国,本杰明·巴顿奇事,67,"剧情,爱情,奇幻",2008
美国,沉默的羔羊,68,"剧情,犯罪,惊悚",1991
美国,暖暖内含光,227,"剧情,爱情,奇幻",2004
"英国,澳大利亚,美国",国王的演讲,228,"剧情,传记,历史",2010
法国,蝴蝶,229,"剧情,儿童,喜剧",2002
美国,遗愿清单,230,"冒险,喜剧,剧情",2007
"法国,比利时",巴黎淘气帮,231,"儿童,喜剧,家庭",2009
美国,爱在午夜降临前,232,"剧情,爱情",2013
"美国,澳大利亚",电锯惊魂,117,"犯罪,悬疑,惊悚",2004
"美国,法国",战争之王,165,"剧情,犯罪",2005
美国,梦之安魂曲,166,剧情,2000
英国,时空恋旅人,167,"剧情,爱情,奇幻",2013
中国大陆,心迷宫,168,"剧情,犯罪,悬疑",2014
香港,唐伯虎点秋香,169,"喜剧,爱情,古装",1993
"中国大陆,香港",可可西里,170,"剧情,犯罪",2004
美国,超能陆战队,171,"喜剧,动作,科幻,动画,冒险",2014
日本,秒速5厘米,172,"动画,剧情,爱情",2007
印度,地球上的星星,173,"剧情,儿童,家庭",2007
日本,小森林 冬春篇,174,剧情,2015
"美国,英国",蝙蝠侠：黑暗骑士崛起,175,"剧情,动作,科幻,犯罪,惊悚",2012
美国,疯狂原始人,131,"喜剧,动画,冒险",2013
美国,怪兽电力公司,132,"喜剧,动画,儿童,奇幻",2001
"英国,南非,意大利,美国",卢旺达饭店,133,"剧情,历史,战争",2004
美国,黑天鹅,134,"剧情,惊悚",2010
"台湾,美国",喜宴,135,"剧情,喜剧,爱情,同性,家庭",1993
日本,穿越时空的少女,136,"剧情,爱情,科幻,动画",2006
